,,,
,19 Aug,7:30,
,Total,40:05:00,2:35:00
,,,
34,22 Aug,9:20,
,23 Aug,7:30,
,24 Aug,7:30,
,25 Aug,7:30,
,26 Aug,7:30,
,Total,39:20:00,1:50:00
,,,
35,29 Aug,8:25,
,30 Aug,9:30,
,31 Aug,9:50,
,1 Sep,0:00,
,2 Sep,0:00,
,Total,27:45:00,-9:45:00
,,,
36,5 Sep,8:10,
,6 Sep,8:30,
,7 Sep,7:30,
,8 Sep,5:00,
,9 Sep,9:00,
,Total,38:10:00,0:40:00
,,,
37,12 Sep,9:30,
,13 Sep,8:30,
,14 Sep,8:00,
,15 Sep,4:30,
,16 Sep,9:30,
,Total,40:00:00,2:30:00
,,,
38,19 Sep,8:05,
,20 Sep,8:00,
,21 Sep,10:30,
,22 Sep,5:30,
,23 Sep,9:10,
,Total,41:15:00,3:45:00
,,,
39,26 Sep,10:40,
,27 Sep,8:20,
,28 Sep,7:15,
,29 Sep,7:00,
,30 Sep,9:30,
,Total,42:45:00,5:15:00
,,,
40,3 Oct,8:30,
,4 Oct,8:30,
,5 Oct,8:30,
,6 Oct,5:30,
,7 Oct,7:30,
,Total,38:30:00,1:00:00
,,,
41,10 Oct,8:20,
,11 Oct,8:05,
,12 Oct,9:05,
,13 Oct,6:00,
,14 Oct,9:00,
,Total,40:30:00,3:00:00
,,,
42,17 Oct,9:00,
,18 Oct,8:30,
,19 Oct,8:55,
,20 Oct,8:00,
,21 Oct,8:20,
,Total,42:45:00,5:15:00
,,,
43,24 Oct,9:10,
,25 Oct,7:50,
,26 Oct,7:45,
,27 Oct,6:30,
,28 Oct,7:00,
,Total,38:15:00,0:45:00
,,,
44,31 Oct,6:30,
,1 Nov,6:30,
,2 Nov,8:00,
,3 Nov,7:30,
,4 Nov,0:00,
,Total,28:30:00,-9:00:00
,,,
45,7 Nov,7:30,Fædreorlov
,8 Nov,7:30,Fædreorlov
,9 Nov,7:30,Fædreorlov
,10 Nov,7:30,Fædreorlov
,11 Nov,7:30,Fædreorlov
,Total,37:30:00,0:00:00
,,,
46,14 Nov,7:30,Fædreorlov
,15 Nov,7:30,Fædreorlov
,16 Nov,7:30,Fædreorlov
,17 Nov,7:30,Fædreorlov
,18 Nov,7:30,Fædreorlov
,Total,37:30:00,0:00:00
,,,
47,21 Nov,7:30,Fædreorlov
,22 Nov,7:30,Fædreorlov
,23 Nov,7:30,Fædreorlov
,24 Nov,7:30,Fædreorlov
,25 Nov,7:30,Fædreorlov
,Total,37:30:00,0:00:00
,,,
48,28 Nov,6:15,
,29 Nov,6:45,
,30 Nov,7:50,
,1 Dec,8:30,
,2 Dec,8:20,
,Total,37:40:00,0:10:00
,,,
49,5 Dec,8:45,
,6 Dec,8:15,
,7 Dec,8:30,
,8 Dec,6:30,
,9 Dec,8:30,
,Total,40:30:00,3:00:00
,,,
50,12 Dec,7:45,
,13 Dec,7:30,
,14 Dec,8:30,
,15 Dec,8:00,
,16 Dec,8:15,
,Total,40:00:00,2:30:00
,,,
51,19 Dec,7:55,
,20 Dec,9:00,
,21 Dec,10:00,
,22 Dec,7:50,
,23 Dec,5:15,
,Total,40:00:00,2:30:00
,,,
52,26 Dec,7:30,
,27 Dec,7:30,Fri
,28 Dec,7:30,Fri
,29 Dec,7:30,Fri
,30 Dec,7:30,Fri
,Total,37:30:00,0:00:00
,,,
1,2 Jan,7:40,
,3 Jan,6:15,
,4 Jan,8:15,
,5 Jan,7:00,
,6 Jan,7:10,
,Total,36:20:00,-1:10:00
,,,
2,9 Jan,6:15,
,10 Jan,7:30,
,11 Jan,7:40,
,12 Jan,9:00,
,13 Jan,8:15,
,Total,38:40:00,1:10:00
,,,
3,16 Jan,8:10,
,17 Jan,7:50,
,18 Jan,7:15,
,19 Jan,8:15,
,20 Jan,8:15,
,Total,39:45:00,2:15:00
,,,
4,23 Jan,8:40,
,24 Jan,7:30,
,25 Jan,7:50,
,26 Jan,7:35,
,27 Jan,13:40,Også lørdag
,Total,45:15:00,7:45:00
,,,
5,30 Jan,8:00,
,31 Jan,7:00,
,1 Feb,9:25,
,2 Feb,8:15,
,3 Feb,8:15,
,Total,40:55:00,3:25:00
,,,
6,6 Feb,7:30,Ferie
,7 Feb,7:30,Ferie
,8 Feb,7:30,Ferie
,9 Feb,7:30,Ferie
,10 Feb,7:30,Ferie
,Total,37:30:00,0:00:00
,,,
7,13 Feb,7:30,Ferie
,14 Feb,7:30,Ferie
,15 Feb,7:30,Ferie
,16 Feb,7:30,Ferie
,17 Feb,7:30,Ferie
,Total,37:30:00,0:00:00
,,,
8,20 Feb,8:20,
,21 Feb,7:10,
,22 Feb,8:05,
,23 Feb,9:00,
,24 Feb,7:35,
,Total,40:10:00,2:40:00
,,,
9,27 Feb,7:15,
,28 Feb,6:20,
,1 Mar,7:30,
,2 Mar,9:15,
,3 Mar,6:00,
,Total,36:20:00,-1:10:00
,,,
10,6 Mar,7:20,
,7 Mar,7:30,
,8 Mar,7:00,
,9 Mar,8:00,
,10 Mar,7:30,
,Total,37:20:00,-0:10:00
,,,
11,13 Mar,7:30,fri
,14 Mar,7:30,fri
